code,label,type,min,max,step,description,direct,category,active,has_team,overall,home,away,id,inplay_only
o15_away_goals_probability,Over 1.5 Goals (Away),per,0,100,1,The probability of Away Team Scoring 1.5 Goals or more,,probability,1,,,,,351,
u15_away_goals_probability,Under 1.5 Goals (Away),per,0,100,1,The probability of Away Team Scoring Less Than 1.5 Goals,,probability,1,,,,,352,
uo5_away_goals_probability,Under 0.5 Goals (Away),per,0,100,1,The probability of Away Team having Under 0.5 Goal,,probability,1,,,,,353,
away_win_probability,Away Win ,per,0,100,1,The probability of Away Team Winning,,probability,1,,,,,354,
btts_probability,Both Teams to Score,per,0,100,1,The probability of Both Teams Scoring,,probability,1,,,,,355,
draw_probability,Draw Probability,per,0,100,1,The probability of Match Ending in a Draw,,probability,1,,,,,356,
o05_home_goals_probability,Over 0.5 Goals (Home),per,0,100,1,The probability of Home Team Scoring 0.5 Goal or more,,probability,1,,,,,357,
o15_home_goals_probability,Over 1.5 Goals (Home),per,0,100,1,The probability of Home Team Scoring 1.5 Goals or more,,probability,1,,,,,358,
u15_home_goals_probability,Under 1.5 Goals (Home),per,0,100,1,The probability of Home Team Scoring Less Than 1.5 Goals,,probability,1,,,,,359,
uo5_home_goals_probability,Under 0.5 Goals (Home),per,0,100,1,The probability of Home Team having Under 0.5 Goal,,probability,1,,,,,360,
home_win_probability,Home Win Probability,per,0,100,1,The probability of Home Team Winning,,probability,1,,,,,361,
o25_goals_probability,Over 2.5 Goals,per,0,100,1,The probability of Match Ending with 2.5 Goals or More,,probability,1,,,,,362,
o35_goals_probability,Over 3.5 Goals,per,0,100,1,The probability of Match Ending with 3.5 Goals or More,,probability,1,,,,,363,
u25_goals_probability,Under 2.5 Goals,per,0,100,1,The probability of Match Ending with Less Than 2.5 Goals,,probability,1,,,,,364,
u35_goals_probability,Under 3.5 Goals,per,0,100,1,The probability of Match Ending with Less Than 3.5 Goals,,probability,1,,,,,365,
attacks,Attacks,,0,100,1,,,stats,1,1,,,,366,
corners,Corners,,0,100,1,,,stats,1,1,,,,367,
dangerous_attacks,Dangerous Attacks,,0,100,1,,,stats,1,1,,,,368,
goals,Goals,,0,100,1,,,stats,1,1,,,,369,
league_position,League Position,,0,100,1,,,stats,1,1,,,,370,
momentum,Momentum,,0,100,1,,,stats,1,1,,,,371,
penalties,Penalties,,0,100,1,,,stats,1,1,,,,372,
possession,Ball Possession (%),,0,100,1,,,stats,1,1,,,,373,
redcards,Red Cards,,0,100,1,,,stats,1,1,,,,374,
shots,Shots,,0,100,1,,,stats,1,1,,,,375,
shots_off_target,Shots Off Target,,0,100,1,,,stats,1,1,,,,376,
shots_on_target,Shots On Target,,0,100,1,,,stats,1,1,,,,377,
substitutions,Substitutions,,0,100,1,,,stats,1,1,,,,378,
yellowcards,Yellow Cards,,0,100,1,,,stats,1,1,,,,379,
